month,day,hour,PM10,PM2.5,NO2,O3,Wind Speed,Wind Direction,Temperature,Relative Humidity,Air Pressure,datetime
1,7,15,50.0,24.311111111111114,25.0,60.0,0.825,104.25,33.0875,42.5,1011.75,2024-01-07 15:00:00
1,7,16,48.8,25.48888888888889,27.0,55.0,0.8250000000000001,93.75,33.15,41.125,1011.125,2024-01-07 16:00:00
1,7,17,44.4,24.633333333333333,31.0,49.0,0.65,92.25,33.0625,41.5,1011.0,2024-01-07 17:00:00
1,7,18,45.6,25.788888888888888,40.0,37.0,0.5375,102.5,32.1625,43.875,1011.125,2024-01-07 18:00:00
1,7,19,57.2,30.333333333333332,44.0,28.0,0.425,167.75,30.8875,49.375,1012.0,2024-01-07 19:00:00
1,7,20,67.6,38.333333333333336,51.0,17.0,0.275,163.25,30.15,52.875,1012.875,2024-01-07 20:00:00
1,7,21,81.6,43.1,56.0,10.0,0.1875,130.875,29.4375,56.125,1013.375,2024-01-07 21:00:00
1,7,22,95.4,48.41111111111111,56.0,9.0,0.15,149.625,28.825,58.875,1013.875,2024-01-07 22:00:00
1,7,23,104.4,52.13333333333333,53.0,9.0,0.1375,175.25,28.325,61.25,1014.0,2024-01-07 23:00:00
1,8,0,99.2,49.711111111111116,57.0,9.0,0.225,124.875,27.9125,62.75,1013.75,2024-01-08 00:00:00
1,8,1,94.4,52.91111111111111,47.0,15.0,0.15,120.5,27.4,65.75,1013.125,2024-01-08 01:00:00
1,8,2,103.4,50.43333333333333,39.0,16.0,0.1875,108.625,26.975,67.125,1012.875,2024-01-08 02:00:00
1,8,3,87.4,46.05555555555556,37.0,14.0,0.175,106.625,26.4875,68.5,1012.125,2024-01-08 03:00:00
1,8,4,79.6,44.644444444444446,33.0,15.0,0.2375,81.0,26.15,69.375,1012.125,2024-01-08 04:00:00
1,8,5,77.8,47.400000000000006,28.0,16.0,0.3,128.875,25.8,71.25,1012.125,2024-01-08 05:00:00
1,8,6,78.2,46.17777777777778,37.0,10.0,0.28750000000000003,121.5,25.475,73.0,1012.75,2024-01-08 06:00:00
1,8,7,110.6,52.68888888888889,42.0,10.0,0.2875,164.375,25.2625,74.5,1013.125,2024-01-08 07:00:00
1,8,8,109.2,55.17777777777778,41.0,13.0,0.325,122.375,25.8375,71.75,1014.125,2024-01-08 08:00:00
1,8,9,123.8,52.0125,44.0,15.0,0.45,137.5,27.775,63.25,1015.0,2024-01-08 09:00:00
1,8,10,112.4,67.43333333333334,42.0,21.0,0.575,147.375,29.5125,56.125,1015.125,2024-01-08 10:00:00
1,8,11,94.2,43.2,40.0,32.0,0.6,117.875,31.05,50.75,1015.125,2024-01-08 11:00:00
1,8,12,87.4,41.233333333333334,41.0,44.0,0.7375,107.875,32.125,47.5,1014.25,2024-01-08 12:00:00
1,8,13,79.2,37.68888888888889,35.0,57.0,0.6625,89.5,32.7875,45.0,1013.0,2024-01-08 13:00:00
1,8,14,67.6,34.166666666666664,31.0,66.0,0.675,98.625,33.2625,43.875,1011.75,2024-01-08 14:00:00
1,8,15,63.6,35.644444444444446,31.0,70.0,0.7,93.875,33.5125,43.125,1010.875,2024-01-08 15:00:00
1,8,16,60.4,34.766666666666666,37.0,65.0,0.475,80.125,33.75,42.625,1010.25,2024-01-08 16:00:00
1,8,17,64.6,34.833333333333336,45.0,50.0,0.6125,151.5,33.475,43.75,1010.25,2024-01-08 17:00:00
1,8,18,63.4,34.81111111111111,53.0,32.0,0.5750000000000001,141.125,32.4125,46.875,1010.875,2024-01-08 18:00:00
1,8,19,64.2,37.355555555555554,55.0,21.0,0.3375,202.125,31.1875,50.375,1011.75,2024-01-08 19:00:00
1,8,20,76.0,44.7,61.0,11.0,0.275,239.375,30.5,53.875,1012.25,2024-01-08 20:00:00
1,8,21,95.4,46.98888888888889,72.0,12.0,0.15,238.25,29.625,57.75,1013.0,2024-01-08 21:00:00
1,8,22,107.6,49.06666666666667,68.0,9.0,0.15,216.875,29.025,59.875,1013.0,2024-01-08 22:00:00
1,8,23,101.6,53.32222222222222,64.0,8.0,0.1625,185.75,28.4375,62.5,1013.0,2024-01-08 23:00:00
1,9,0,97.6,54.08888888888889,66.0,8.0,0.125,243.5,27.8625,65.0,1013.0,2024-01-09 00:00:00
1,9,1,96.6,58.07777777777778,65.0,8.0,0.125,168.75,27.3375,67.875,1012.75,2024-01-09 01:00:00
